name,category,author,price,img_paths
You Can Heal Your Life,Medical,Louise Hay,14.83,dataset/Medical/0000071.jpg
Gratitude,Medical,Oliver Sacks,7.82,dataset/Medical/0000072.jpg
"DBT (R) Skills Training Handouts and Worksheets, Second Edition",Medical,Marsha M. Linehan,30.06,dataset/Medical/0000073.jpg
Man's Search for Meaning,Medical,Viktor E. Frankl,11.97,dataset/Medical/0000074.jpg
Don't Shoot the Dog!,Medical,Karen Pryor,8.11,dataset/Medical/0000075.jpg
The Mindful Self-Compassion Workbook,Medical,Kristin Neff,19.04,dataset/Medical/0000076.jpg
Self Compassion,Medical,Kristin Neff,12.79,dataset/Medical/0000077.jpg
Trail Guide to the Body,Medical,R.  Andrew Biel,71.64,dataset/Medical/0000078.jpg
The Man Who Mistook His Wife for a Hat,Medical,Oliver Sacks,8.37,dataset/Medical/0000079.jpg
Hands Of Light,Medical,Barbara Ann Brennan,20.44,dataset/Medical/0000080.jpg
The Drama of the Gifted Child,Medical,Alice Miller,10.84,dataset/Medical/0000081.jpg
Taking Charge of Your Fertility,Medical,Toni Weschler,21.9,dataset/Medical/0000082.jpg
When Breath Becomes Air,Medical,Paul Kalanithi,7.54,dataset/Medical/0000083.jpg
It Didn't Start with You,Medical,Mark Wolynn,13.18,dataset/Medical/0000084.jpg
Trauma and Recovery,Medical,Judith Herman,11.84,dataset/Medical/0000085.jpg
Love's Executioner,Medical,Irvin D. Yalom,9.6,dataset/Medical/0000086.jpg
The Complete Ketogenic Diet for Beginners,Medical,Amy Ramos,11.08,dataset/Medical/0000087.jpg
The Compassionate Mind,Medical,Paul Gilbert,13.42,dataset/Medical/0000088.jpg
I Had a Black Dog,Medical,Matthew Johnstone,6.8,dataset/Medical/0000089.jpg
The End of Alzheimer's,Medical,Dale E. Bredesen,15.49,dataset/Medical/0000090.jpg
The Secret Language of Color Cards,Medical,Inna Segal,10.1,dataset/Medical/0000091.jpg
The China Study: Revised and Expanded Edition,Medical,T. Colin Campbell,15.58,dataset/Medical/0000092.jpg
Immortal Life of Henrietta Lacks,Medical,Rebecca Skloot,8.82,dataset/Medical/0000093.jpg
"Cognitive Behavior Therapy, Second Edition",Medical,Judith S. Beck,30.95,dataset/Medical/0000094.jpg
Smart but Scattered,Medical,Peg Dawson,12.94,dataset/Medical/0000095.jpg
Better,Medical,Atul Gawande,8.99,dataset/Medical/0000096.jpg
The Complete Low-Fodmap Diet,Medical,Sue Shepherd,15.7,dataset/Medical/0000097.jpg
Farewell To The East End,Medical,Jennifer Worth,7.76,dataset/Medical/0000098.jpg
The Epigenetics Revolution,Medical,Nessa Carey,6.21,dataset/Medical/0000099.jpg
Maps of Meaning,Medical,Jordan B. Peterson,49.85,dataset/Medical/0000100.jpg
A Mind of Your Own,Medical,Kelly Brogan,12.76,dataset/Medical/0000101.jpg
The Gene,Medical,Siddhartha Mukherjee,12.59,dataset/Medical/0000102.jpg
"Many Lives, Many Masters",Medical,Brian L. Weiss,11.03,dataset/Medical/0000103.jpg
Musicophilia,Medical,Oliver Sacks,9.43,dataset/Medical/0000104.jpg
The How Not To Die Cookbook,Medical,Michael Greger,16.29,dataset/Medical/0000105.jpg
"Breaking the vicious cycle, Intestinal health through diet",Medical,Elaine Gottscha,22.3,dataset/Medical/0000106.jpg
Highly Sensitive Child,Medical,Elaine N. Aron,12.92,dataset/Medical/0000107.jpg
The 4 Pillar Plan,Medical,Dr. Rangan Chatterjee,18.77,dataset/Medical/0000108.jpg
Into the Magic Shop,Medical,Dr. James R. Doty,12.47,dataset/Medical/0000109.jpg
Schema Therapy,Medical,Jeffrey E. Young,34.25,dataset/Medical/0000110.jpg
The Body Remembers,Medical,Babette Rothschild,28.58,dataset/Medical/0000111.jpg
The Undiscovered Self,Medical,C G Jung,6.38,dataset/Medical/0000112.jpg
Desk Reference to the Diagnostic Criteria from DSM-5,Medical,American Psychiatric Association,55.56,dataset/Medical/0000113.jpg
When My Worries Get Too Big!,Medical,Kari Dunn Buron,12.74,dataset/Medical/0000114.jpg
"Mind Over Mood, Second Edition",Medical,Dennis Greenberger,21.35,dataset/Medical/0000115.jpg
ACT Made Simple,Medical,Russ Harris,30.5,dataset/Medical/0000116.jpg
Dibs in Search of Self,Medical,Virginia M. Axline,6.72,dataset/Medical/0000117.jpg
We Should All Be Feminists,Medical,Chimamanda Ngozi Adichie,6.98,dataset/Medical/0000118.jpg
The Heal Your Gut Cookbook,Medical,Hillary Boynton,21.43,dataset/Medical/0000119.jpg
On Becoming a Person,Medical,Carl Rogers,11.16,dataset/Medical/0000120.jpg
"Ayurveda, the Science of Self-healing: A Practical Guide",Medical,Vasant Lad,10.02,dataset/Medical/0000121.jpg
The Mindful Path to Self-Compassion,Medical,Christopher Germer,15.41,dataset/Medical/0000122.jpg
Mindsight,Medical,Daniel J Siegel,13.8,dataset/Medical/0000123.jpg
With the Old Breed,Medical,E B Sledge,8.72,dataset/Medical/0000124.jpg
Get Out of Your Mind and into Your Life,Medical,Steven C. Hayes,15.42,dataset/Medical/0000125.jpg
Sweet Poison,Medical,David Gillespie,8.82,dataset/Medical/0000126.jpg
When the Body Says No,Medical,Gabor Mate,15.82,dataset/Medical/0000127.jpg
Listening to the Animals: Becoming The Supervet,Medical,Noel Fitzpatrick,17.34,dataset/Medical/0000128.jpg
Dmt : the Spririt Molecule,Medical,Rick Strassman M D,14.0,dataset/Medical/0000129.jpg
Art Therapy Sourcebook,Medical,Cathy Malchiodi,17.09,dataset/Medical/0000130.jpg
The Skeletal System Anatomical Chart,Medical,Anatomical Chart Company,12.39,dataset/Medical/0000131.jpg
Intuitive Eating,Medical,Evelyn Tribole,10.62,dataset/Medical/0000132.jpg
Spiritual Midwifery,Medical,Ina May Gaskin,18.48,dataset/Medical/0000133.jpg
Marshall & Ruedy's On Call: Principles & Protocols,Medical,Anthony F. T. Brown,55.74,dataset/Medical/0000134.jpg
Anatomy of Movement,Medical,Blandine Calais-Germain,30.34,dataset/Medical/0000135.jpg
Civilization and Its Discontents,Medical,Sigmund Freud,4.95,dataset/Medical/0000136.jpg
Get into Medical School - 1250 UKCAT Practice Questions. Includes Full Mock Exam,Medical,Olivier Picard,25.27,dataset/Medical/0000137.jpg
The Gift Of Therapy,Medical,Irvin D. Yalom,8.9,dataset/Medical/0000138.jpg
Mary Sheridan's From Birth to Five Years: Children's Developmental Progress,Medical,Ajay Sharma,24.27,dataset/Medical/0000139.jpg
Brain Rules (Updated and Expanded),Medical,John Medina,12.92,dataset/Medical/0000140.jpg
Food Rules,Medical,Michael Pollan,10.59,dataset/Medical/0000141.jpg
Nutrient Power,Medical,William J. Walsh,14.33,dataset/Medical/0000142.jpg
Wheat Belly,Medical,William Davis,18.89,dataset/Medical/0000143.jpg
"Motivational Interviewing, Third Edition",Medical,William R. Miller,48.2,dataset/Medical/0000144.jpg
An Anthropologist on Mars,Medical,Oliver Sacks,5.86,dataset/Medical/0000145.jpg
Girls Only! All About Periods and Growing-Up Stuff,Medical,Victoria Parker,5.64,dataset/Medical/0000146.jpg
How to Eat Better,Medical,James Wong,18.61,dataset/Medical/0000147.jpg
Hashimoto's Protocol,Medical,Izabella Wentz,16.63,dataset/Medical/0000148.jpg
Talley and O'Connor's Clinical Examination - 2-Volume Set,Medical,Professor Nicholas J. Talley,91.92,dataset/Medical/0000149.jpg
The Wahls Protocol,Medical,Terry Wahls,14.87,dataset/Medical/0000150.jpg
The How Not To Die Cookbook,Medical,Michael Greger,24.08,dataset/Medical/0000151.jpg
Pilates Anatomy,Medical,Rael Isacowitz,17.1,dataset/Medical/0000152.jpg
Quiet the Mind,Medical,Matthew Johnstone,7.71,dataset/Medical/0000153.jpg
"Your Body, Your Yoga",Medical,Bernie Clark,20.3,dataset/Medical/0000154.jpg
"Medical Interviews - a Comprehensive Guide to Ct, St and Registrar Interview Skills",Medical,Olivier Picard,39.28,dataset/Medical/0000155.jpg
Radical Remission,Medical,Kelly A. Turner,13.3,dataset/Medical/0000156.jpg
The Immortal Life of Henrietta Lacks,Medical,Rebecca Skloot,13.82,dataset/Medical/0000157.jpg
The Crystal Bible Volume 2,Medical,Judy Hall,13.76,dataset/Medical/0000158.jpg
Start Where You Are,Medical,Meera Lee Patel,10.51,dataset/Medical/0000159.jpg
Birth Skills,Medical,Juju Sundin,26.59,dataset/Medical/0000160.jpg
The Clever Guts Diet,Medical,Michael Mosley,22.7,dataset/Medical/0000161.jpg
Dirty Genes,Medical,Ben Lynch,15.35,dataset/Medical/0000162.jpg
Adult Children of Emotionally Immature Parents,Medical,Lindsay C. Gibson,15.65,dataset/Medical/0000163.jpg
Genius Foods,Medical,Max Lugavere,15.35,dataset/Medical/0000164.jpg
"Theory and Practice of Group Psychotherapy, Fifth Edition",Medical,Irvin D. Yalom,46.42,dataset/Medical/0000165.jpg
"Good Calories, Bad Calories",Medical,Gary Taubes,14.38,dataset/Medical/0000166.jpg
Havard's Nursing Guide to Drugs,Medical,Adriana P. Tiziani,51.81,dataset/Medical/0000167.jpg
Hypnobirthing,Medical,Marie F. Mongan,17.3,dataset/Medical/0000168.jpg
The Continuum Concept,Medical,Jean Liedloff,7.95,dataset/Medical/0000169.jpg
BSAVA Textbook of Veterinary Nursing,Medical,Tim Greet,89.23,dataset/Medical/0000170.jpg
Trigger Point Therapy Workbook,Medical,Clair Davies,19.85,dataset/Medical/0000171.jpg
Your Body's Many Cries for Water,Medical,F. Batmanghelidj,12.86,dataset/Medical/0000172.jpg
The Autoimmune Solution,Medical,Amy Myers,24.58,dataset/Medical/0000173.jpg
Healing the Fragmented Selves of Trauma Survivors,Medical,Janina Fisher,32.51,dataset/Medical/0000174.jpg
Being Mortal,Medical,Atul Gawande,13.25,dataset/Medical/0000175.jpg
Creative Ways to Help Children Manage BIG Feelings,Medical,Fiona Zandt,24.47,dataset/Medical/0000176.jpg
Mycelium Running,Medical,Paul Stamets,21.92,dataset/Medical/0000177.jpg
The Beauty Detox Solution,Medical,Kimberly Snyder,14.7,dataset/Medical/0000178.jpg
Eat to Beat Disease,Medical,William Li,18.8,dataset/Medical/0000179.jpg
